epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0203,0.70981,3.251,1.04361,0.00738,0.93333,0.2231,0.22104,0.34731,3.18948,0.86321,1.429e-05,1.429e-05,1.429e-05
2,22.0049,0.6909,3.21303,1.04675,0.00711,0.93333,0.21495,0.21023,0.31291,3.1648,0.84915,4.24456e-05,4.24456e-05,4.24456e-05
3,30.4942,0.56716,3.16855,0.97263,0.00693,0.93333,0.18242,0.17417,0.29157,3.14378,0.83175,7.00353e-05,7.00353e-05,7.00353e-05
4,41.0513,0.57242,3.11502,0.97725,0.00737,1,0.2087,0.19717,0.26986,3.1371,0.80919,9.70591e-05,9.70591e-05,9.70591e-05
5,48.9574,0.56227,2.99497,0.95359,0.00687,1,0.27999,0.27102,0.23826,3.12427,0.80432,0.000123517,0.000123517,0.000123517
6,56.2043,0.51235,2.91973,0.89725,0.00663,1,0.3713,0.36029,0.25127,3.12015,0.80601,0.000149409,0.000149409,0.000149409
7,63.7068,0.44251,2.63244,0.90657,0.00631,1,0.39519,0.37778,0.30083,3.11821,0.81684,0.000174735,0.000174735,0.000174735
8,70.7164,0.50253,2.65164,0.90503,0.00616,1,0.47302,0.45214,0.35501,3.10002,0.83086,0.000199496,0.000199496,0.000199496
9,80.6329,0.48206,2.43816,0.8817,0.00612,1,0.46306,0.43842,0.35787,3.08933,0.83843,0.00022369,0.00022369,0.00022369
10,87.6134,0.48161,2.44841,0.89531,0.0061,1,0.40312,0.36568,0.35613,3.07538,0.84159,0.000247318,0.000247318,0.000247318
11,94.8181,0.49375,2.22913,0.90433,0.00599,1,0.4302,0.37575,0.36869,3.0681,0.83911,0.000270381,0.000270381,0.000270381
12,102.348,0.4707,2.13201,0.90901,0.006,1,0.48258,0.4105,0.39171,3.06274,0.8553,0.000292878,0.000292878,0.000292878
13,112.549,0.4714,2.09665,0.88492,0.00595,1,0.53992,0.46856,0.38372,3.04802,0.85783,0.000314809,0.000314809,0.000314809
14,119.635,0.47165,1.88638,0.9137,0.00585,1,0.59621,0.4817,0.40045,3.03724,0.86524,0.000336174,0.000336174,0.000336174
15,127.121,0.48329,1.83636,0.88321,0.00587,1,0.59884,0.49943,0.43633,3.0189,0.88425,0.000356973,0.000356973,0.000356973
16,134.45,0.51038,1.63441,0.90462,0.00583,1,0.62676,0.54842,0.53504,2.99186,0.9379,0.000377206,0.000377206,0.000377206
17,141.789,0.54222,1.59691,0.92103,0.00587,1,0.63513,0.5511,0.56166,2.97277,0.94297,0.000396873,0.000396873,0.000396873
18,152.812,0.50698,1.41882,0.90089,0.00584,1,0.64948,0.5446,0.54585,2.96628,0.90983,0.000415975,0.000415975,0.000415975
19,160.658,0.54502,1.42355,0.92447,0.00585,1,0.6525,0.54448,0.52552,2.91329,0.89282,0.00043451,0.00043451,0.00043451
20,168.142,0.49275,1.25938,0.8804,0.00582,1,0.6525,0.52783,0.56352,2.87617,0.91203,0.00045248,0.00045248,0.00045248
21,175.245,0.4536,1.31397,0.9061,0.00586,1,0.61319,0.53218,0.54039,2.84259,0.99817,0.000469884,0.000469884,0.000469884
22,185.541,0.51369,1.27402,0.91658,0.00587,1,0.58285,0.51547,0.52837,2.83206,1.07748,0.000486722,0.000486722,0.000486722
23,192.87,0.50319,1.08613,0.8992,0.00585,1,0.61894,0.56873,0.54449,2.82469,1.10004,0.000502994,0.000502994,0.000502994
24,199.981,0.50018,1.15172,0.90069,0.00582,1,0.61725,0.55366,0.51131,2.81198,0.99969,0.0005187,0.0005187,0.0005187
25,207.299,0.5232,1.21116,0.9425,0.00582,1,0.59283,0.53914,0.48416,2.78728,0.97589,0.00053384,0.00053384,0.00053384
26,218.243,0.49846,1.22846,0.92205,0.00584,1,0.60472,0.52947,0.49895,2.79533,0.96822,0.000548414,0.000548414,0.000548414
27,225.426,0.52514,1.11742,0.91273,0.66667,0.11761,0.66008,0.61966,0.49893,2.7014,0.93754,0.000562423,0.000562423,0.000562423
28,232.52,0.53129,1.10452,0.92056,0.66667,0.11761,0.66008,0.61966,0.49893,2.7014,0.93754,0.000575866,0.000575866,0.000575866
